gene,disease
AAGAB,Punctate Palmoplantar Keratoderma Type 1
AARS1,Charcot-Marie-Tooth Disease Type 2
AARS2,Vanishing White Matter Disease
AARS2,Ovarioleukodystrophy
AARS2,Combined Oxidative Phosphorylation Deficiency
ABCA1,Familial Hypoalphalipoproteinemia
ABCA12,Congenital Ichthyosis Of Skin
ABCA3,Hereditary Pulmonary Alveolar Proteinosis
ABCA4,Retinitis Pigmentosa
ABCA4,Stargardt Disease
ABCA4,Age-Related Macular Degeneration
ABCA7,Alzheimer Disease
ABCC6,Arterial Calcification Of Infancy
ABCC6,Pseudoxanthoma Elasticum
ABCC6,Inherited Pseudoxanthoma Elasticum
ABCC8,Neonatal Diabetes Mellitus
ABCC8,Familial Hyperinsulinism
ABCC8,Transitory Neonatal Diabetes Mellitus
ABCC9,Cardiomyopathy
ABCC9,Primary Familial Dilated Cardiomyopathy
ABCC9,Atrial Fibrillation
ABCD3,Oculopharyngodistal Myopathy
ABCD4,Methylmalonic Aciduria And Homocystinuria
ACADM,Disorder Of Fatty Acid Metabolism
ACADVL,Disorder Of Fatty Acid Metabolism
ACAT1,Disorder Of Organic Acid Metabolism
ACE,"Microvascular Complications Of Diabetes, Susceptibility"
ACE,Renal Tubular Dysgenesis
ACP5,Spondylometaphyseal Dysplasia
ACP5,Type 2 Collagenopathy
ACTA1,Nemaline Myopathy
ACTA2,Moyamoya Disease
ACTB,Baraitser-Winter Syndrome
ACTC1,Primary Familial Dilated Cardiomyopathy
ACTC1,Cardiomyopathy
ACTC1,Atrial Septal Defect
ACTG1,Baraitser-Winter Syndrome
ACTG1,Autosomal Dominant Nonsyndromic Hearing Loss
ACTG1,Nonsyndromic Genetic Hearing Loss
ACTG2,"Megacystis, Microcolon, Hypoperistalsis Syndrome"
ACTG2,Hereditary Hollow Viscus Myopathy
ACTN2,Primary Familial Dilated Cardiomyopathy
ACTN2,Cardiomyopathy
ACTN4,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
ACTN4,Inherited Focal Segmental Glomerulosclerosis
ACTN4,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
ACTN4,Focal Segmental Glomerulosclerosis
ACVR1B,Carcinoma Of Pancreas
ACVRL1,Hereditary Hemorrhagic Telangiectasia
ADA,Severe Combined Immunodeficiency Disease
ADAMTS10,Weill-Marchesani Syndrome
ADAMTS17,Weill-Marchesani Syndrome
ADAMTS19,Cardiac Valvular Defect
ADAMTS2,"Ehlers-Danlos Syndrome, Arthrochalasia Type"
ADAMTS2,Ehlers-Danlos Syndrome
ADAMTSL4,Isolated Ectopia Lentis
ADAMTSL4,Ectopia Lentis
ADAR,Aicardi Goutieres Syndrome
ADCY1,Nonsyndromic Genetic Hearing Loss
ADCY1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
ADCY1,Hereditary Hearing Loss And Deafness
ADD1,Essential Hypertension
ADGRG1,Congenital Bilateral Perisylvian Syndrome
ADH1C,Parkinson Disease
ADRA2A,Familial Partial Lipodystrophy
ADRB3,Obesity
AGL,Glycogen Storage Disease
AGPAT2,Congenital Generalized Lipodystrophy
AGPAT2,Berardinelli-Seip Congenital Lipodystrophy
AGRP,Obesity
AGT,Renal Tubular Dysgenesis
AGTR1,Renal Tubular Dysgenesis
AGTR1,Essential Hypertension
AGXT,Primary Hyperoxaluria
AGXT,Alanine Glyoxylate Aminotransferase Deficiency
AHI1,Joubert Syndrome
AIFM1,Charcot-Marie-Tooth Neuropathy X
AIFM1,Combined Oxidative Phosphorylation Deficiency
AIP,Cushing Syndrome
AIP,Acth-Dependent Cushing Syndrome
AIPL1,Leber Congenital Amaurosis
AKAP9,Long Qt Syndrome
AKAP9,Congenital Long Qt Syndrome
AKT1,Pten Hamartoma Tumor Syndrome
AKT1,Neoplasm Of The Genitourinary Tract
AKT1,Malignant Tumor Of Breast
AKT1,Breast Neoplasm
AKT1,Ovarian Neoplasm
